+----------------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+----------------------+-----------------------+------------------------+-----------------------+-----------------------+----------------------+
|              Metric              |           P1           |           P2          |           P3          |           P4          |           P5           |           P6          |           P7          |           P8           |          P9          |          P10          |          P11           |          P12          |          P13          |         P14          |
|        Comprehensibility         |   0.3868528072345416   |          0.5          |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   | 0.43067655807339306  |          0.5          |          0.5           |          0.5          |          0.5          |         0.5          |
|           Completeness           |        0.09375         |  0.03703703703703704  |  0.03333333333333333  |  0.023255813953488375 |        0.046875        |  0.02298850574712644  |  0.023809523809523808 |  0.05357142857142857   | 0.07272727272727274  |  0.03409090909090909  |  0.05357142857142857   |  0.03571428571428571  |  0.022727272727272728 | 0.09523809523809523  |
|           Added Value            |   0.1743589743589743   |  -0.28974358974358977 |  -0.1923076923076923  |  -0.2615384615384615  |  0.10769230769230764   |  -0.26923076923076916 |  -0.24615384615384617 |  0.16923076923076918   | 0.37692307692307697  |  -0.17692307692307696 |   0.0692307692307692   |  -0.1461538461538462  |  -0.27692307692307694 |  0.676923076923077   |
|        Casual Confidence         |  0.35812672176308535   |  0.17906336088154268  |   0.2620967741935484  |  0.20800000000000002  |         0.312          |  0.20800000000000002  |  0.20800000000000002  |         0.312          | 0.41600000000000004  |   0.2620967741935484  |   0.2620967741935484   |   0.2620967741935484  |  0.20800000000000002  |  0.5158730158730159  |
|          Casual Support          |   0.5307692307692308   |   0.3538461538461538  |   0.3076923076923077  |  0.33076923076923076  |   0.5153846153846154   |   0.3230769230769231  |  0.34615384615384615  |   0.576923076923077    |         0.6          |  0.32307692307692304  |   0.5692307692307692   |   0.3538461538461538  |   0.3153846153846154  |  0.7076923076923077  |
|         Certainty Factor         |   0.3434343434343433   |  -0.7687074829931974  |  -0.6249999999999999  |  -0.7727272727272726  |  0.21212121212121204   |  -0.8139534883720927  |  -0.6956521739130436  |   0.2972972972972972   |  0.6533333333333334  |  -0.5476190476190478  |  0.12162162162162159   |  -0.41304347826086973 |  -0.8571428571428573  |         1.0          |
|            Conviction            |   1.523076923076923    |   0.5653846153846154  |   0.6153846153846154  |   0.5641025641025641  |   1.2692307692307692   |   0.5512820512820513  |   0.5897435897435896  |   1.4230769230769231   |  2.884615384615384   |   0.6461538461538461  |   1.1384615384615384   |   0.7076923076923075  |   0.5384615384615384  |         inf          |
|        Coverage (Support)        |  0.06923076923076923   |  0.06923076923076923  |  0.046153846153846156 |  0.038461538461538464 |  0.038461538461538464  |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464  | 0.038461538461538464 |  0.046153846153846156 |  0.046153846153846156  |  0.046153846153846156 |  0.038461538461538464 | 0.03076923076923077  |
| Descriptive Confirmed Confidence |   0.3333333333333333   |  -0.3333333333333333  |          0.0          |  -0.19999999999999996 |  0.19999999999999996   |  -0.19999999999999996 |  -0.19999999999999996 |  0.19999999999999996   |  0.6000000000000001  |          0.0          |          0.0           |          0.0          |  -0.19999999999999996 |         1.0          |
|    Difference of Proportions     |    0.18732782369146    |  -0.31129476584022037 |  -0.2016129032258065  |         -0.272        |  0.11199999999999999   |  -0.2799999999999999  |  -0.2559999999999999  |         0.176          | 0.39200000000000007  |   -0.185483870967742  |  0.07258064516129031   |   -0.153225806451613  |  -0.2879999999999999  |  0.6984126984126984  |
|   Example and Counter Example    |          0.5           |          -1.0         |          0.0          |          -0.5         |   0.3333333333333333   |          -0.5         |          -0.5         |   0.3333333333333333   |         0.75         |          0.0          |          0.0           |          0.0          |          -0.5         |         1.0          |
|         Imbalance Ratio          |   0.8208955223880597   |   0.8275862068965517  |   0.903225806451613   |   0.9101123595505619  |   0.8939393939393939   |   0.911111111111111   |   0.9080459770114941  |   0.8793103448275861   |  0.8928571428571429  |   0.9010989010989012  |   0.8474576271186441   |   0.8965517241379312  |   0.9120879120879122  |  0.9047619047619048  |
|  Fisher's Exact Test (p-value)   |  0.23087105461788915   |   0.9856062655338794  |   0.9280485651502864  |   0.9554205363752608  |  0.48535066837575536   |   0.959128306077125   |   0.9473235917625682  |   0.369863049878157    | 0.10151447275485914  |   0.9147178477690289  |   0.5205252278393644   |   0.8837288007268322  |   0.9626174998474027  | 0.009853964475370791 |
|         Hyper Confidence         |   0.7691289453821109   |  0.014393734466120578 |  0.07195143484971356  |  0.04457946362473919  |   0.5146493316242446   |  0.04087169392287504  |  0.052676408237431804 |   0.630136950121843    |  0.8984855272451409  |  0.08528215223097113  |   0.4794747721606356   |  0.11627119927316776  |  0.03738250015259725  |  0.9901460355246292  |
|            Hyper Lift            |   0.8571428571428571   |         0.375         |          0.5          |          0.4          |          0.75          |          0.4          |          0.4          |          0.75          |         1.0          |          0.5          |          0.6           |          0.5          |          0.4          |  1.3333333333333333  |
|   Laplace Corrected Confidence   |   0.6363636363636364   |  0.36363636363636365  |          0.5          |  0.42857142857142855  |   0.5714285714285714   |  0.42857142857142855  |  0.42857142857142855  |   0.5714285714285714   |  0.7142857142857143  |          0.5          |          0.5           |          0.5          |  0.42857142857142855  |  0.8333333333333334  |
|            Importance            |  0.24303804868629442   |  -0.24303804868629436 |          0.0          |  -0.12493873660829993 |   0.1249387366082999   |  -0.12493873660829993 |  -0.12493873660829993 |   0.1249387366082999   |  0.3979400086720376  |          0.0          |          0.0           |          0.0          |  -0.12493873660829993 |  0.6989700043360187  |
|       Jaccard Coefficient        |  0.08955223880597016   |  0.03448275862068966  |  0.03225806451612903  |  0.02247191011235955  |  0.04545454545454546   |  0.022222222222222223 |  0.022988505747126436 |  0.05172413793103449   | 0.07142857142857142  |  0.03296703296703297  |  0.05084745762711864   |  0.03448275862068966  |  0.02197802197802198  | 0.09523809523809523  |
|            J-Measure             | 0.0018605169364578986  |  0.005161133195857115 | 0.0016044049042713208 |  0.002376427410733398 | 0.00038971309465877287 | 0.0025295894105003287 | 0.0020881417551734927 | 0.0009635613450806606  | 0.004973805259978956 | 0.0013406480939455886 | 0.00019400692035079626 | 0.0008951445125135859 |  0.002689055998823085 | 0.015098278827967269 |
|              Kappa               |  0.048932597745262645  |  -0.0661980082015232  | -0.026315789473684174 | -0.030993618960802292 |  0.01680672268907576   |  -0.03155996393146987 | -0.029822926374650505 |  0.029850746268656768  |  0.0675862068965516  |  -0.0247223217484772  |  0.014618299945858181  |   -0.021324354657688  |  -0.03211418376449595 | 0.12473423104181429  |
|             Klosgen              |  0.03745831648821647   |  -0.0440152109540209  |  -0.02921363558895192 |  -0.03243985366179297 |  0.01635963592981307   |  -0.03339396700478688 | -0.030531626975805158 |  0.025707999318277688  | 0.06611668145545298  | -0.026876544741835776 |  0.010516908812022689  |  -0.02220236304760347 |  -0.03434808034778081 | 0.11874016261387473  |
|            Kulczynski            |   0.3802083333333333   |  0.18518518518518517  |  0.26666666666666666  |   0.2116279069767442  |       0.3234375        |  0.21149425287356324  |  0.21190476190476193  |   0.3267857142857143   |  0.4363636363636364  |  0.26704545454545453  |   0.2767857142857143   |  0.26785714285714285  |  0.21136363636363636  |  0.5476190476190477  |
|     Goodman-Kruskal's Lambda     |  0.46774193548387094   |   0.6141732283464567  |   0.6850393700787402  |        0.65625        |   0.4803149606299213   |       0.6640625       |   0.6406250000000001  |  0.41732283464566927   |  0.4047619047619048  |   0.6692913385826772  |  0.41732283464566927   |   0.6377952755905512  |   0.6718750000000001  | 0.30158730158730157  |
|       Least Contradiction        |        0.046875        |  -0.03703703703703704 |          0.0          | -0.011627906976744188 |        0.015625        |  -0.01149425287356322 | -0.011904761904761904 |  0.017857142857142856  | 0.05454545454545455  |          0.0          |          0.0           |          0.0          | -0.011363636363636364 | 0.09523809523809523  |
|        Lerman Similarity         |   0.7454993164109747   |   -1.101195068685492  |   -0.566138517072298  |  -0.7190233885442829  |  0.34320323649182194   |   -0.735904983679565  |  -0.6847367880174606  |   0.5765566601970552   |  1.2957704191024655  |  -0.5267329042764961  |   0.2583761632934465   |  -0.4453668693915706  |  -0.7526178090063816  |  2.381860632627374   |
|        Piatetsky-Shapiro         |  0.01207100591715976   | -0.020059171597633138 | -0.008875739644970411 | -0.010059171597633136 |  0.004142011834319524  | -0.010355029585798814 | -0.009467455621301777 |  0.006508875739644971  | 0.014497041420118345 | -0.008165680473372783 | 0.0031952662721893496  | -0.006745562130177518 | -0.010650887573964499 | 0.020828402366863907 |
|          Max Confidence          |   0.6666666666666666   |   0.3333333333333333  |          0.5          |          0.4          |          0.6           |          0.4          |          0.4          |          0.6           |         0.8          |          0.5          |          0.5           |          0.5          |          0.4          |         1.0          |
|            Odds Ratio            |   2.172413793103448    |  0.27564102564102566  |   0.4252873563218391  |  0.32539682539682535  |   1.5737704918032789   |   0.3137254901960785  |  0.34959349593495936  |   2.0377358490566038   |  5.803921568627451   |   0.4588235294117647  |   1.3396226415094339   |   0.5308641975308642  |   0.3023255813953488  |         inf          |
|   Phi Correlation Coefficient    |  0.09511615212039347   |  0.16305916305916307  |   0.0916544468883458  |  0.11054353508960037  |  0.04308202184276645   |  0.11444694015889997  |  0.10295831233404591  |   0.068350674260132    |  0.1525857930556585  |   0.0832197941794864  |  0.030753703196629647  |  0.06723568358293351  |  0.11843130509275841  |  0.2579059810995543  |
|          Ralambondrainy          |  0.023076923076923078  |  0.046153846153846156 |  0.023076923076923078 |  0.023076923076923078 |  0.015384615384615385  |  0.023076923076923078 |  0.023076923076923078 |  0.015384615384615385  | 0.007692307692307693 |  0.023076923076923078 |  0.023076923076923078  |  0.023076923076923078 |  0.023076923076923078 |         0.0          |
| Relative Linkage Disequilibrium  |   0.9998868906232327   |   0.9999319311142877  |   0.9998461775111521  |   0.9999095104515429  |   0.999780268072951    |   0.9999120956399438  |   0.9999038553985193  |   0.9998601594182631   |  0.9999686038114973  |    0.99983280387895   |   0.9995728321230244   |   0.9997976118194697  |   0.9999145372190411  |         1.0          |
|          Relative Risk           |   1.3908045977011494   |   0.5170940170940171  |   0.7126436781609194  |   0.5952380952380952  |   1.2295081967213115   |   0.5882352941176472  |   0.6097560975609757  |   1.4150943396226414   |  1.9607843137254903  |   0.7294117647058823  |   1.169811320754717    |   0.765432098765432   |   0.5813953488372093  |   3.31578947368421   |
|        Rule Power Factor         |  0.03076923076923077   |  0.007692307692307693 |  0.011538461538461539 |  0.006153846153846154 |  0.013846153846153848  |  0.006153846153846154 |  0.006153846153846154 |  0.013846153846153848  | 0.024615384615384615 |  0.011538461538461539 |  0.011538461538461539  |  0.011538461538461539 |  0.006153846153846154 | 0.03076923076923077  |
|         Sebag-Schoenauer         |          2.0           |          0.5          |          1.0          |   0.6666666666666666  |          1.5           |   0.6666666666666666  |   0.6666666666666666  |          1.5           |         4.0          |          1.0          |          1.0           |          1.0          |   0.6666666666666666  |         inf          |
|              Yule Q              |  0.36956521739130427   |  -0.5678391959798995  |  -0.4032258064516128  |  -0.5089820359281438  |  0.22292993630573252   |  -0.5223880597014925  |  -0.48192771084337344 |  0.34161490683229817   |  0.7060518731988473  |   -0.370967741935484  |  0.14516129032258057   |  -0.3064516129032258  |  -0.5357142857142858  |         1.0          |
|              Yule Y              |  0.19156349727499872   |  -0.3114622846411844  |  -0.21055072759931467 |  -0.2735319693113969  |  0.11288537835223067   |  -0.2819592163330629  |  -0.2568622164423291  |   0.1761046808177837   |  0.4133405679407236  |  -0.19234623122003797 |  0.07296707863777721   |  -0.1570028042779997  |  -0.29045461099508146 |         1.0          |
|         Weighted Support         |  0.06923076923076923   |  0.06923076923076923  |  0.046153846153846156 |  0.038461538461538464 |  0.038461538461538464  |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464  | 0.038461538461538464 |  0.046153846153846156 |  0.046153846153846156  |  0.046153846153846156 |  0.038461538461538464 | 0.03076923076923077  |
|      Weighted Rule Support       |  0.046153846153846156  |  0.023076923076923078 |  0.023076923076923078 |  0.015384615384615385 |  0.023076923076923078  |  0.015384615384615385 |  0.015384615384615385 |  0.023076923076923078  | 0.03076923076923077  |  0.023076923076923078 |  0.023076923076923078  |  0.023076923076923078 |  0.015384615384615385 | 0.03076923076923077  |
|       Weighted Confidence        |   0.6666666666666666   |   0.3333333333333333  |          0.5          |          0.4          |          0.6           |          0.4          |          0.4          |          0.6           |         0.8          |          0.5          |          0.5           |          0.5          |          0.4          |         1.0          |
|          Weighted Lift           |   1.3541666666666665   |   0.5349794238683128  |   0.7222222222222223  |   0.6046511627906976  |   1.2187499999999998   |   0.5977011494252874  |   0.6190476190476191  |   1.3928571428571428   |  1.890909090909091   |   0.7386363636363635  |   1.1607142857142858   |   0.7738095238095237  |   0.5909090909090909  |  3.0952380952380953  |
|     Statistical Significance     | 3.6082292100569946e-10 |  0.023076245784788632 |  0.06890486505428878  |  0.11866978591830467  |  0.025978395286933832  |  0.09147469507830519  |   0.1150786234923115  | 6.0219999468165166e-05 | 0.11066505059906834  |  0.03134304071766623  |  0.06763447560919135   |   0.1333518402241746  |  0.05112825412446254  | 0.16472320831184079  |
|           FleBiC Score           | 9.795403752288182e-11  |  0.012950096862451342 |  0.019032853002659583 |  0.04017168340610565  |  0.004386625919954813  |  0.032282504421196456 |  0.03590106671213803  | 1.2938835491541249e-05 | 0.05754136825376348  |  0.00750772012406548  |  0.009549175712240522  |  0.026682630519476645 |  0.018182247109140858 |  0.2002322089502829  |
+----------------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+----------------------+-----------------------+------------------------+-----------------------+-----------------------+----------------------+
